round,category,label,Krippendorff's alpha,CI low,CI high,n,Fleiss' kappa,CI low,CI high,n
1,behavior,redundant,0.6869747899159664,0.3031315859911633,0.9163391353172375,75.0,0.684873949579832,0.30231747650680757,0.9197702581517566,75.0
1,behavior,self contradiction,0.5386996904024768,0.13240892788193567,0.797502295668524,75.0,0.5356037151702783,0.16589071892559906,0.819204499799116,75.0
1,behavior,uninterpretable,,,,75.0,,,,75.0
1,comparative,consistent,-0.15244708994709,-0.6666666666666665,0.5089285714285714,8.0,-0.24675324675324675,-0.6231884057971014,0.37662337662337664,8.0
1,comparative,emotional,0.53125,,,8.0,0.5,,,8.0
1,comparative,engaging,0.17162698412698407,-0.5625000000000002,0.7596153846153846,8.0,0.16883116883116883,,,8.0
1,comparative,grammatical,0.0625,-0.5,0.7619047619047619,8.0,0.0,-0.6,0.746031746031746,8.0
1,comparative,informative,0.53125,,,8.0,0.5,,,8.0
1,comparative,proactive,0.08750000000000002,-0.6778846153846154,0.9444444444444444,8.0,0.23809523809523808,-0.23076923076923078,0.7746478873239436,8.0
1,comparative,quality,-0.15244708994709,-0.6666666666666665,0.5044642857142858,8.0,-0.24675324675324675,-0.620253164556962,0.41421269925344034,8.0
1,comparative,relevant,0.17162698412698407,-0.5126292750992897,0.7553571428571428,8.0,0.16883116883116883,-0.3493975903614458,0.7559820562704128,8.0
1,likert dialogue,consistent,0.5673076923076923,-0.7020408163265308,0.986046511627907,5.0,0.21052631578947367,-0.25000000000000017,1.0,5.0
1,likert dialogue,engaging,0.5395348837209302,,,5.0,-0.03448275862068969,,,5.0
1,likert dialogue,grammatical,0.3265734265734267,,,5.0,0.09090909090909091,,,5.0
1,likert dialogue,informative,-0.5000000000000002,-0.8,0.09999999999999992,5.0,-0.21212121212121204,,,5.0
1,likert dialogue,proactive,0.09999999999999987,-0.04285714285714293,0.09999999999999998,5.0,-0.4285714285714287,-0.7241379310344829,-0.11111111111111124,5.0
1,likert dialogue,quality,0.6352941176470588,0.19999999999999996,0.9777777777777777,5.0,-0.11111111111111113,-0.6129032258064516,0.4117647058823528,5.0
1,likert dialogue,relevant,0.3828571428571429,-0.8,0.9777777777777777,5.0,0.03225806451612906,-1.0,0.6551724137931035,5.0
1,likert turn,consistent,0.18531305475435567,-0.08400556179051509,0.3894589050194987,75.0,-0.09702584105314484,-0.20234695976871533,0.07339598178295656,75.0
1,likert turn,engaging,-0.1712310553465788,-0.37785524048081426,0.03620560888888656,75.0,-0.08815935079306529,-0.19147841009641803,0.05365429787850682,75.0
1,likert turn,grammatical,-0.03221975539602595,-0.2214598774227391,0.163509835842206,75.0,-0.20041156968103355,-0.2558129722138044,-0.09556377503348583,75.0
1,likert turn,informative,-0.11312437884781379,-0.30611091033734683,0.12606790290506475,75.0,-0.004936530324400608,-0.10108456022281379,0.13145404402801233,75.0
1,likert turn,proactive,0.25412966449432783,0.02787559368572698,0.4428261182927675,75.0,0.07530520971836097,-0.047420028856147045,0.2266688433698174,75.0
1,likert turn,quality,0.0009736588004769509,-0.21678313077428077,0.2216166052985118,75.0,0.04701397712833539,-0.05852210896199479,0.18614898599693366,75.0
1,likert turn,relevant,-0.2076197195126459,-0.4038389545815178,0.020613514828925216,75.0,-0.0015500178848217013,-0.11768368159685029,0.14608816452273002,75.0
2,behavior,antisocial,0.5532307692307692,0.24519013389365152,0.7991392560713189,1634.0,0.5530940170940171,0.24630996309962297,0.8055103729335966,1634.0
2,behavior,commonsense contradiction,0.4419677171406611,0.39059006082598197,0.4926528783117134,1634.0,0.44179690836108976,0.39147623519045266,0.4969400911112703,1634.0
2,behavior,correct fact,0.6177292891471611,0.5736955657807946,0.6613551204690682,1634.0,0.6176122794407475,0.5692168355547355,0.6674497881329915,1634.0
2,behavior,empathetic,0.513504797033866,0.4700755986769601,0.5525463411242898,1634.0,0.5133558851260096,0.4701249021251974,0.5542888909113002,1634.0
2,behavior,follow up,0.49247039785864766,0.4534506510947629,0.5378020406504461,1634.0,0.4923150475059875,0.4507181696890373,0.5333710908026934,1634.0
2,behavior,ignore,0.5712113029965725,0.4989853987619457,0.6316474634877319,1634.0,0.5710800545432506,0.507186043421529,0.6362702120795761,1634.0
2,behavior,incorrect fact,0.6515247051516604,0.5854058795089618,0.7192619610349116,1634.0,0.6514180399251994,0.5655765156685332,0.712101693527277,1634.0
2,behavior,irrelevant,0.45612011409585307,0.39838792198504286,0.5148111304642389,1634.0,0.4559536372406634,0.39627263417585956,0.5157055898555528,1634.0
2,behavior,lack of empathy,0.43549536707056313,0.37752320437330417,0.4981016652831278,1634.0,0.4353225771614936,0.37215356211856665,0.4973721441520789,1634.0
2,behavior,life info,0.6313942521885542,0.5868165851173169,0.6719831447751499,1634.0,0.6312814252072834,0.5867516070881611,0.6739695881025666,1634.0
2,behavior,partner contradiction,0.4363448149199406,0.3562292061667601,0.5062646056714566,1634.0,0.43617228501939537,0.36634669488493393,0.5120138917850342,1634.0
2,behavior,preference info,0.49147118874997775,0.44888549442973275,0.5389172227305242,1634.0,0.49131553254818694,0.4445704060599217,0.531682439247078,1634.0
2,behavior,redundant,0.551449897412011,0.47382780732537344,0.6266531379753367,1634.0,0.5513126001660397,0.47342346932752843,0.6220299920731812,1634.0
2,behavior,self contradiction,0.4066635058140936,0.31308912483688034,0.49206961661776133,1634.0,0.4064818907255769,0.3182790091264676,0.49682001005530463,1634.0
2,behavior,topic switch,0.7548043026303897,0.7125195883425621,0.7900372854833798,1634.0,0.7547292503814241,0.7142267213602456,0.7911396564344031,1634.0
2,behavior,uninterpretable,0.13721059890254994,0.038522304832713794,0.3288001500250807,1634.0,0.1369465066463215,0.0311028372461837,0.31550195824937766,1634.0
2,comparative,consistent,0.4838820301783264,0.335156832048031,0.6478559703871257,108.0,0.4814814814814814,0.31287436200328644,0.6479580704125167,108.0
2,comparative,emotional,0.02157761497761501,-0.15253169157710994,0.21464669677652934,108.0,0.0744349989633009,-0.054020972496796,0.2145379049425198,108.0
2,comparative,engaging,0.1152263374485597,-0.05349685809113109,0.307959982601131,108.0,0.11111111111111116,-0.0925631781085936,0.3133430707105423,108.0
2,comparative,grammatical,-0.0625693086835315,-0.2352121008751334,0.13678780462864812,108.0,0.02372881355932187,-0.11223805023177169,0.16075279423162642,108.0
2,comparative,informative,0.2015055794876438,0.018553100170842576,0.37689213457006737,108.0,0.19979792876989147,0.013391099785271865,0.37198563549419933,108.0
2,comparative,proactive,0.22582304526748975,0.06794656285941791,0.4111092165504704,108.0,0.22222222222222232,0.049380165050254596,0.42491910505798236,108.0
2,comparative,quality,0.44701646090534974,0.2735857229489733,0.6214372657995851,108.0,0.4444444444444444,0.2770195502650392,0.5925925925925926,108.0
2,comparative,relevant,0.38695863725880886,0.21859908046655174,0.561081386463908,108.0,0.3922542204568024,0.21264077454467384,0.5514263714360147,108.0
2,likert dialogue,consistent,0.3600975225094446,0.18454970795077746,0.5051671883878368,108.0,0.0740313272877164,-0.03495781704727994,0.1929029624566755,108.0
2,likert dialogue,engaging,0.2593916506795376,0.0840060794705006,0.42998320118986777,108.0,0.12347078832726618,0.0024556568677945897,0.2600735576957339,108.0
2,likert dialogue,grammatical,0.13216500606812054,-0.04682538321087389,0.30319886730424755,108.0,-0.057731958762886615,-0.17984689881988553,0.08521578370643486,108.0
2,likert dialogue,informative,0.4090995855528693,0.24326593355862774,0.5452343751079967,108.0,0.0314488274859117,-0.07724683481260682,0.18169669181377748,108.0
2,likert dialogue,proactive,0.2434519032344128,0.06922131985113268,0.3989798088160415,108.0,-0.02555685814771398,-0.11301347753320622,0.0817755652143401,108.0
2,likert dialogue,quality,0.28636691585033003,0.1063165048221727,0.44749937944265916,108.0,0.07832977750685755,-0.02805437820435354,0.20249153517287455,108.0
2,likert dialogue,relevant,0.2980344048346255,0.13522025507753885,0.46005003549419626,108.0,-0.003018342233573308,-0.10976103907712316,0.11301940033966644,108.0
2,likert turn,consistent,0.20134543550450923,0.15102412227151937,0.2542721822839811,1634.0,0.08258295726041942,0.052804010770239114,0.11488613120498907,1634.0
2,likert turn,engaging,0.2950072784951482,0.24452841239757664,0.3420839362564934,1634.0,0.12340569760714318,0.0901306971991569,0.1533184856362226,1634.0
2,likert turn,grammatical,0.41886139666429045,0.37563498829899405,0.465537972393212,1634.0,0.2961185374290907,0.2636437620450452,0.3338356011168167,1634.0
2,likert turn,informative,0.27818328896483935,0.23112822803857258,0.32485029572276736,1634.0,0.09195803195044845,0.06417447207880163,0.11951019420347848,1634.0
2,likert turn,proactive,0.27885919486865407,0.23274819098514993,0.3232150912022942,1634.0,0.0980878607789004,0.06993332542339968,0.1251583920183116,1634.0
2,likert turn,quality,0.31167202298481167,0.2666553064503185,0.3546550927293853,1634.0,0.09163099075923595,0.06208590893641991,0.12067861931029357,1634.0
2,likert turn,relevant,0.23862754257880858,0.18867301818956744,0.2837604130546045,1634.0,0.10046218073385615,0.07040942950721023,0.1344619606850068,1634.0
